            table_name            |           column_name            |          data_type          
----------------------------------+----------------------------------+-----------------------------
 adaptive_thresholds              | id                               | integer
 adaptive_thresholds              | threshold_key                    | character varying
 adaptive_thresholds              | event_type                       | character varying
 adaptive_thresholds              | sector                           | character varying
 adaptive_thresholds              | metric_type                      | character varying
 adaptive_thresholds              | default_value                    | real
 adaptive_thresholds              | learned_value                    | real
 adaptive_thresholds              | sample_count                     | integer
 adaptive_thresholds              | last_correction_at               | timestamp without time zone
 adaptive_thresholds              | created_at                       | timestamp without time zone
 advisory_chat_messages           | id                               | integer
 advisory_chat_messages           | session_key                      | character varying
 advisory_chat_messages           | role                             | character varying
 advisory_chat_messages           | content                          | text
 advisory_chat_messages           | event_ids                        | json
 advisory_chat_messages           | created_at                       | timestamp without time zone
 agentic_analyses                 | id                               | integer
 agentic_analyses                 | session_id                       | character varying
 agentic_analyses                 | q1_role                          | character varying
 agentic_analyses                 | q2_challenge                     | character varying
 agentic_analyses                 | q3_event_type                    | character varying
 agentic_analyses                 | primary_bundle                   | character varying
 agentic_analyses                 | bundle_letter                    | character varying
 agentic_analyses                 | score                            | real
 agentic_analyses                 | ai_action                        | text
 agentic_analyses                 | roi_preview                      | character varying
 agentic_analyses                 | interconnections                 | text
 agentic_analyses                 | created_at                       | timestamp without time zone
 aggregate_intelligence           | id                               | integer
 aggregate_intelligence           | event_type                       | character varying
 aggregate_intelligence           | sentiment_score                  | real
 aggregate_intelligence           | engagement_level                 | character varying
 aggregate_intelligence           | compliance_risk                  | character varying
 aggregate_intelligence           | word_count_range                 | character varying
 aggregate_intelligence           | event_quarter                    | character varying
 aggregate_intelligence           | source_type                      | character varying
 aggregate_intelligence           | created_at                       | timestamp without time zone
 agm_dissent_patterns             | id                               | integer
 agm_dissent_patterns             | client_name                      | character varying
 agm_dissent_patterns             | pattern_type                     | character varying
 agm_dissent_patterns             | category                         | character varying
 agm_dissent_patterns             | description                      | text
 agm_dissent_patterns             | frequency                        | integer
 agm_dissent_patterns             | confidence                       | real
 agm_dissent_patterns             | first_seen                       | timestamp without time zone
 agm_dissent_patterns             | last_seen                        | timestamp without time zone
 agm_dissent_patterns             | session_ids                      | json
 agm_dissent_patterns             | evidence_data                    | json
 agm_dissent_patterns             | action_recommendation            | text
 agm_dissent_patterns             | decayed_score                    | real
 agm_dissent_patterns             | created_at                       | timestamp without time zone
 agm_dissent_patterns             | updated_at                       | timestamp without time zone
 agm_governance_observations      | id                               | integer
 agm_governance_observations      | session_id                       | integer
 agm_governance_observations      | algorithm_source                 | character varying
 agm_governance_observations      | observation_type                 | character varying
 agm_governance_observations      | severity                         | character varying
 agm_governance_observations      | title                            | character varying
 agm_governance_observations      | detail                           | text
 agm_governance_observations      | confidence                       | real
 agm_governance_observations      | related_resolution_id            | integer
 agm_governance_observations      | raw_data                         | json
 agm_governance_observations      | fed_to_evolution                 | boolean
 agm_governance_observations      | created_at                       | timestamp without time zone
 agm_governance_scores            | id                               | integer
 agm_governance_scores            | session_id                       | integer
 agm_governance_scores            | company                          | character varying
 agm_governance_scores            | overall_score                    | integer
 agm_governance_scores            | calculated_at                    | timestamp without time zone
 agm_intelligence_sessions        | id                               | integer
 agm_intelligence_sessions        | user_id                          | integer
 agm_intelligence_sessions        | shadow_session_id                | integer
 agm_intelligence_sessions        | client_name                      | character varying
 agm_intelligence_sessions        | agm_title                        | character varying
 agm_intelligence_sessions        | agm_date                         | character varying
 agm_intelligence_sessions        | jurisdiction                     | character varying
 agm_intelligence_sessions        | total_resolutions                | integer
 agm_intelligence_sessions        | resolutions_carried              | integer
 agm_intelligence_sessions        | resolutions_defeated             | integer
 agm_intelligence_sessions        | quorum_met                       | boolean
 agm_intelligence_sessions        | quorum_percentage                | real
 agm_intelligence_sessions        | attendance_count                 | integer
 agm_intelligence_sessions        | proxy_count                      | integer
 agm_intelligence_sessions        | overall_sentiment                | real
 agm_intelligence_sessions        | governance_score                 | real
 agm_intelligence_sessions        | dissent_index                    | real
 agm_intelligence_sessions        | regulatory_alerts                | integer
 agm_intelligence_sessions        | qa_questions_total               | integer
 agm_intelligence_sessions        | qa_questions_governance          | integer
 agm_intelligence_sessions        | ai_governance_report             | json
 agm_intelligence_sessions        | evolution_observations_generated | integer
 agm_intelligence_sessions        | status                           | character varying
 agm_intelligence_sessions        | created_at                       | timestamp without time zone
 agm_intelligence_sessions        | updated_at                       | timestamp without time zone
 agm_resolutions                  | id                               | integer
 agm_resolutions                  | session_id                       | integer
 agm_resolutions                  | resolution_number                | integer
 agm_resolutions                  | title                            | character varying
 agm_resolutions                  | category                         | character varying
 agm_resolutions                  | proposed_by                      | character varying
 agm_resolutions                  | sentiment_during_debate          | real
 agm_resolutions                  | predicted_approval_pct           | real
 agm_resolutions                  | actual_approval_pct              | real
 agm_resolutions                  | prediction_accuracy              | real
 agm_resolutions                  | dissenter_count                  | integer
 agm_resolutions                  | compliance_flags                 | json
 agm_resolutions                  | ai_analysis                      | json
 agm_resolutions                  | status                           | character varying
 agm_resolutions                  | created_at                       | timestamp without time zone
 agm_resolutions                  | updated_at                       | timestamp without time zone
 agm_shareholder_signals          | id                               | integer
 agm_shareholder_signals          | session_id                       | integer
 agm_shareholder_signals          | resolution_id                    | integer
 agm_shareholder_signals          | signal_type                      | character varying
 agm_shareholder_signals          | speaker                          | character varying
 agm_shareholder_signals          | segment_text                     | text
 agm_shareholder_signals          | confidence                       | real
 agm_shareholder_signals          | detected_at                      | timestamp without time zone
 ai_am_audit_log                  | id                               | character varying
 ai_am_audit_log                  | event_id                         | character varying
 ai_am_audit_log                  | action                           | character varying
 ai_am_audit_log                  | action_by                        | character varying
 ai_am_audit_log                  | action_by_role                   | character varying
 ai_am_audit_log                  | target_violation_id              | character varying
 ai_am_audit_log                  | target_speaker                   | character varying
